id,customer_id,date_of_birth,place_of_birth,country_of_birth_id,gender_id,marital_status_id,citizenship_country_id,dual_citizenship_flag,ssn_last4,tin,itin,is_politically_exposed,pep_details,annual_income_range,net_worth_range,source_of_wealth_summary,primary_language_id,secondary_language_id,high_risk_flag,risk_reason,is_deceased,date_of_death,created_at,updated_at
CPD-0000118,CUST-000118,1993-11-17,Raleigh,1,1,1,1,False,5907,TIN-431323559,ITIN-359866931,False,No PEP match found.,75k-120k,50k-150k,Inheritance,1,2.0,False,Standard retail risk.,False,,2026-06-15,2026-05-01
CPD-0000119,CUST-000119,2002-06-11,Columbia,1,2,1,1,False,2571,TIN-416827485,ITIN-691452781,False,No PEP match found.,25k-50k,150k-500k,Savings and investments,1,2.0,False,Standard retail risk.,False,,2024-05-07,2024-09-12
CPD-0000120,CUST-000120,1982-07-31,Columbia,1,1,2,1,False,8675,TIN-876948411,ITIN-255977883,False,No PEP match found.,50k-75k,150k-500k,Savings and investments,1,,False,Standard retail risk.,False,,2024-06-26,2024-12-17
CPD-0000121,CUST-000121,1969-07-19,Miami,1,2,2,1,False,8556,TIN-105292123,ITIN-257509875,False,No PEP match found.,25k-50k,50k-150k,Salary,2,1.0,False,Standard retail risk.,False,,2026-09-24,2026-05-01
CPD-0000122,CUST-000122,1980-12-27,Charlotte,4,2,2,4,True,6201,TIN-588591141,ITIN-900548742,False,No PEP match found.,120k-200k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2026-09-26,2026-05-01
CPD-0000123,CUST-000123,1984-04-13,Charlotte,1,1,1,1,False,6722,TIN-899934833,ITIN-997376363,False,No PEP match found.,25k-50k,150k-500k,Inheritance,5,1.0,False,Standard retail risk.,False,,2024-05-08,2024-10-31
CPD-0000124,CUST-000124,2008-02-04,Atlanta,1,2,3,1,False,9631,TIN-701231538,ITIN-158401684,False,No PEP match found.,120k-200k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2025-06-25,2025-12-01
CPD-0000125,CUST-000125,1943-05-25,Miami,2,1,3,2,True,7578,TIN-444203350,ITIN-363098814,False,No PEP match found.,120k-200k,500k-1m,Inheritance,1,2.0,False,Standard retail risk.,False,,2024-02-20,2024-04-30
CPD-0000126,CUST-000126,1963-02-22,Miami,1,1,3,1,False,6844,TIN-471963248,ITIN-949965901,False,No PEP match found.,25k-50k,50k-150k,Business income,1,2.0,False,Standard retail risk.,False,,2024-10-23,2025-03-08
CPD-0000127,CUST-000127,1997-02-25,Raleigh,3,1,1,3,False,8713,TIN-178860619,ITIN-444592653,False,No PEP match found.,120k-200k,500k-1m,Inheritance,1,,False,Standard retail risk.,False,,2024-01-23,2024-05-14
CPD-0000128,CUST-000128,1950-02-11,Columbia,1,2,2,1,False,3388,TIN-253327501,ITIN-202765963,False,No PEP match found.,50k-75k,150k-500k,Inheritance,2,1.0,False,Standard retail risk.,False,,2024-08-24,2025-02-18
CPD-0000129,CUST-000129,1983-04-08,Jacksonville,1,2,2,1,False,7269,TIN-794952369,ITIN-847312155,False,No PEP match found.,120k-200k,150k-500k,Business income,1,,False,Standard retail risk.,False,,2025-09-08,2025-09-29
CPD-0000130,CUST-000130,1991-12-09,Atlanta,2,2,1,2,False,4100,TIN-372645868,ITIN-860967943,False,No PEP match found.,25k-50k,150k-500k,Business income,1,,False,Standard retail risk.,False,,2025-02-01,2025-04-04
CPD-0000131,CUST-000131,1953-01-14,Jacksonville,3,2,2,3,False,6533,TIN-308103859,ITIN-186754138,False,No PEP match found.,25k-50k,150k-500k,Inheritance,1,,False,Standard retail risk.,False,,2025-07-26,2025-08-18
CPD-0000132,CUST-000132,1975-09-17,Columbia,3,2,2,3,False,2194,TIN-964539929,ITIN-806803795,False,No PEP match found.,25k-50k,50k-150k,Savings and investments,1,,False,Standard retail risk.,False,,2025-02-28,2025-08-06
CPD-0000133,CUST-000133,1999-03-19,Jacksonville,1,2,2,1,True,6016,TIN-358601871,ITIN-681410550,False,No PEP match found.,50k-75k,<50k,Savings and investments,2,1.0,False,Standard retail risk.,False,,2024-01-17,2024-06-17
CPD-0000134,CUST-000134,1986-06-14,Charlotte,1,2,1,1,False,1656,TIN-591239948,ITIN-646646907,False,No PEP match found.,120k-200k,150k-500k,Business income,1,,False,Standard retail risk.,False,,2025-02-16,2025-08-13
CPD-0000135,CUST-000135,1989-02-03,Jacksonville,1,2,2,1,False,1580,TIN-176368588,ITIN-205869821,False,No PEP match found.,50k-75k,50k-150k,Inheritance,2,1.0,False,Standard retail risk.,False,,2025-01-31,2025-02-06
CPD-0000136,CUST-000136,1977-04-02,Columbia,1,2,1,1,False,7821,TIN-818042070,ITIN-841966649,False,No PEP match found.,25k-50k,150k-500k,Business income,1,,False,Standard retail risk.,False,,2026-08-27,2026-05-01
CPD-0000137,CUST-000137,1950-07-12,Miami,1,1,2,1,False,6458,TIN-818140704,ITIN-894281983,False,No PEP match found.,50k-75k,<50k,Inheritance,4,1.0,False,Standard retail risk.,False,,2026-05-13,2026-05-01
CPD-0000138,CUST-000138,1977-01-29,Jacksonville,1,1,2,1,True,1140,TIN-993212837,ITIN-676466755,False,No PEP match found.,25k-50k,150k-500k,Salary,1,,False,Standard retail risk.,False,,2025-04-19,2025-09-22
CPD-0000139,CUST-000139,1947-09-28,Atlanta,4,2,2,4,False,8921,TIN-133547398,ITIN-524321355,False,No PEP match found.,75k-120k,50k-150k,Business income,1,,False,Standard retail risk.,False,,2025-01-19,2025-03-17
CPD-0000140,CUST-000140,1976-12-16,Jacksonville,4,1,2,4,False,4216,TIN-701250386,ITIN-382158407,False,No PEP match found.,75k-120k,50k-150k,Business income,1,,False,Standard retail risk.,False,,2026-01-14,2026-01-27
CPD-0000141,CUST-000141,2007-03-31,Jacksonville,1,1,2,1,True,7375,TIN-581900968,ITIN-528112195,False,No PEP match found.,50k-75k,150k-500k,Inheritance,1,,False,Standard retail risk.,False,,2025-07-30,2025-08-04
CPD-0000142,CUST-000142,1986-10-26,Raleigh,3,2,2,3,False,5706,TIN-138451506,ITIN-463193496,False,No PEP match found.,50k-75k,<50k,Business income,1,,False,Standard retail risk.,False,,2026-05-19,2026-05-01
CPD-0000143,CUST-000143,1984-08-26,Charlotte,1,2,1,1,False,3573,TIN-836959495,ITIN-165202355,False,No PEP match found.,75k-120k,1m+,Salary,2,1.0,False,Standard retail risk.,False,,2024-07-26,2025-01-13
CPD-0000144,CUST-000144,1975-07-14,Charlotte,1,2,3,1,True,1705,TIN-663492079,ITIN-586529399,False,No PEP match found.,50k-75k,150k-500k,Salary,2,1.0,False,Standard retail risk.,False,,2026-09-12,2026-05-01
CPD-0000145,CUST-000145,1971-03-20,Raleigh,2,2,1,2,False,7889,TIN-753817027,ITIN-205112644,False,No PEP match found.,75k-120k,500k-1m,Savings and investments,5,1.0,False,Standard retail risk.,False,,2026-06-13,2026-05-01
CPD-0000146,CUST-000146,1953-01-10,Raleigh,1,2,3,1,False,4258,TIN-818078651,ITIN-105039494,False,No PEP match found.,50k-75k,<50k,Inheritance,1,,False,Standard retail risk.,False,,2025-09-07,2025-10-16
CPD-0000147,CUST-000147,2008-02-14,Raleigh,1,2,2,1,True,2252,TIN-427968323,ITIN-134402900,False,No PEP match found.,50k-75k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2025-02-17,2025-07-15
CPD-0000148,CUST-000148,1979-08-02,Raleigh,1,1,1,1,False,2261,TIN-631529565,ITIN-222823147,False,No PEP match found.,120k-200k,150k-500k,Business income,1,3.0,False,Standard retail risk.,False,,2026-07-28,2026-05-01
CPD-0000149,CUST-000149,1944-10-04,Atlanta,3,1,1,3,False,0330,TIN-695078536,ITIN-948146660,False,No PEP match found.,25k-50k,150k-500k,Salary,1,,False,Standard retail risk.,False,,2025-01-17,2025-02-02
CPD-0000150,CUST-000150,1948-09-09,Atlanta,4,2,2,4,False,0548,TIN-583783690,ITIN-120482083,False,No PEP match found.,50k-75k,150k-500k,Savings and investments,1,2.0,False,Standard retail risk.,False,,2024-06-15,2024-11-06
CPD-0000151,CUST-000151,1991-05-11,Atlanta,1,3,1,1,False,5161,TIN-444389952,ITIN-531479689,False,No PEP match found.,120k-200k,150k-500k,Business income,1,,False,Standard retail risk.,False,,2026-08-17,2026-05-01
CPD-0000152,CUST-000152,1946-05-01,Raleigh,4,1,1,4,False,9877,TIN-159681535,ITIN-322935607,False,No PEP match found.,50k-75k,<50k,Business income,2,1.0,False,Standard retail risk.,False,,2026-01-27,2026-05-01
CPD-0000153,CUST-000153,1977-03-13,Miami,3,1,1,3,False,1905,TIN-245903780,ITIN-500531765,False,No PEP match found.,25k-50k,50k-150k,Savings and investments,1,,False,Standard retail risk.,True,2025-10-24,2024-07-23,2024-09-07
CPD-0000154,CUST-000154,1951-11-18,Atlanta,4,1,3,4,False,7209,TIN-941074714,ITIN-354729238,False,No PEP match found.,75k-120k,150k-500k,Inheritance,1,,False,Standard retail risk.,False,,2025-04-15,2025-08-29
CPD-0000155,CUST-000155,1947-11-19,Atlanta,1,2,2,1,False,8915,TIN-675135873,ITIN-642233797,False,No PEP match found.,25k-50k,<50k,Savings and investments,3,1.0,False,Standard retail risk.,False,,2025-04-30,2025-06-09
CPD-0000156,CUST-000156,1964-07-14,Columbia,1,1,4,1,False,3715,TIN-120384102,ITIN-133040968,False,No PEP match found.,200k+,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2025-05-14,2025-11-04
CPD-0000157,CUST-000157,1995-09-19,Columbia,1,2,2,1,False,1948,TIN-792558536,ITIN-139730633,False,No PEP match found.,25k-50k,150k-500k,Salary,1,,False,Standard retail risk.,False,,2024-10-24,2025-01-03
CPD-0000158,CUST-000158,1994-03-01,Jacksonville,1,2,1,1,False,3957,TIN-931980131,ITIN-128252457,False,No PEP match found.,50k-75k,1m+,Salary,1,,False,Standard retail risk.,False,,2026-06-26,2026-05-01
CPD-0000159,CUST-000159,1943-07-21,Jacksonville,1,2,2,1,False,4446,TIN-348231389,ITIN-142033466,False,No PEP match found.,50k-75k,150k-500k,Salary,1,3.0,False,Standard retail risk.,False,,2026-08-18,2026-05-01
CPD-0000160,CUST-000160,1998-07-24,Jacksonville,1,2,2,1,False,6224,TIN-478673014,ITIN-843149820,False,No PEP match found.,50k-75k,50k-150k,Savings and investments,1,,False,Standard retail risk.,False,,2024-11-03,2025-02-04
CPD-0000161,CUST-000161,2006-01-17,Miami,1,1,1,1,False,2385,TIN-440773544,ITIN-257190270,False,No PEP match found.,25k-50k,<50k,Inheritance,2,1.0,False,Standard retail risk.,False,,2024-04-07,2024-09-05
CPD-0000162,CUST-000162,1962-05-27,Jacksonville,4,2,1,4,True,4504,TIN-733986129,ITIN-748378757,False,No PEP match found.,120k-200k,500k-1m,Business income,1,2.0,False,Standard retail risk.,False,,2025-06-28,2025-08-06
CPD-0000163,CUST-000163,1951-11-21,Raleigh,1,2,1,1,False,6572,TIN-690775410,ITIN-272249657,False,No PEP match found.,25k-50k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2024-06-10,2024-11-08
CPD-0000164,CUST-000164,1988-01-02,Atlanta,1,2,2,1,False,5000,TIN-911090349,ITIN-870788248,False,No PEP match found.,50k-75k,<50k,Inheritance,2,1.0,False,Standard retail risk.,False,,2026-01-10,2026-01-23
CPD-0000165,CUST-000165,1948-12-22,Raleigh,4,1,2,4,False,8423,TIN-179980447,ITIN-169178087,False,No PEP match found.,120k-200k,150k-500k,Savings and investments,1,,False,Standard retail risk.,False,,2025-02-14,2025-08-11
CPD-0000166,CUST-000166,1943-10-05,Raleigh,1,1,2,1,False,8807,TIN-539866448,ITIN-677592152,False,No PEP match found.,25k-50k,500k-1m,Savings and investments,4,1.0,False,Standard retail risk.,False,,2024-07-28,2024-12-28
CPD-0000167,CUST-000167,1990-09-18,Columbia,1,2,1,1,False,2682,TIN-558288360,ITIN-518729733,False,No PEP match found.,25k-50k,150k-500k,Business income,1,,False,Standard retail risk.,False,,2026-06-22,2026-05-01
CPD-0000168,CUST-000168,1959-02-21,Jacksonville,2,2,3,2,False,9669,TIN-959234419,ITIN-477785038,False,No PEP match found.,50k-75k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2026-05-03,2026-05-01
CPD-0000169,CUST-000169,2002-06-08,Raleigh,3,2,1,3,False,5660,TIN-413376595,ITIN-222591561,False,No PEP match found.,120k-200k,150k-500k,Savings and investments,1,,False,Standard retail risk.,False,,2025-03-29,2025-06-27
CPD-0000170,CUST-000170,2004-08-23,Columbia,1,2,3,1,False,8432,TIN-355868815,ITIN-678336850,False,No PEP match found.,50k-75k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2026-05-08,2026-05-01
CPD-0000171,CUST-000171,1958-04-15,Atlanta,1,2,2,1,False,1432,TIN-215540347,ITIN-927913070,False,No PEP match found.,50k-75k,150k-500k,Inheritance,2,1.0,False,Standard retail risk.,False,,2025-06-17,2025-08-11
CPD-0000172,CUST-000172,1978-03-11,Miami,1,2,1,1,False,3146,TIN-286914026,ITIN-102170257,False,No PEP match found.,50k-75k,<50k,Salary,1,,False,Standard retail risk.,False,,2024-06-11,2024-07-19
CPD-0000173,CUST-000173,1954-06-04,Miami,1,1,2,1,False,5342,TIN-386725229,ITIN-207553364,False,No PEP match found.,200k+,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2026-02-21,2026-03-22
CPD-0000174,CUST-000174,1982-12-16,Miami,1,1,1,1,False,5924,TIN-634005849,ITIN-568709372,False,No PEP match found.,75k-120k,150k-500k,Savings and investments,1,2.0,False,Standard retail risk.,False,,2025-05-10,2025-09-12
CPD-0000175,CUST-000175,1999-07-27,Atlanta,1,2,2,1,False,5099,TIN-715341440,ITIN-427821524,False,No PEP match found.,120k-200k,150k-500k,Inheritance,1,,False,Standard retail risk.,False,,2025-06-25,2025-09-04
CPD-0000176,CUST-000176,2003-03-19,Jacksonville,1,1,2,1,False,1594,TIN-764958740,ITIN-398645584,False,No PEP match found.,50k-75k,150k-500k,Savings and investments,2,1.0,False,Standard retail risk.,False,,2024-05-06,2024-06-30
CPD-0000177,CUST-000177,1968-09-09,Columbia,4,2,1,4,False,5757,TIN-203524841,ITIN-140887679,False,No PEP match found.,50k-75k,150k-500k,Inheritance,4,1.0,False,Standard retail risk.,False,,2026-08-18,2026-05-01
CPD-0000178,CUST-000178,1969-10-02,Charlotte,2,2,4,2,True,6590,TIN-991996050,ITIN-334905497,False,No PEP match found.,50k-75k,150k-500k,Savings and investments,1,,False,Standard retail risk.,False,,2024-07-30,2024-09-17
CPD-0000179,CUST-000179,1998-03-30,Atlanta,1,1,2,1,False,5792,TIN-927116407,ITIN-795695854,False,No PEP match found.,120k-200k,<50k,Salary,1,,False,Standard retail risk.,False,,2024-05-02,2024-07-02
CPD-0000180,CUST-000180,2004-07-06,Charlotte,1,1,1,1,False,4694,TIN-915019460,ITIN-780797156,False,No PEP match found.,75k-120k,150k-500k,Salary,2,1.0,False,Standard retail risk.,False,,2025-09-02,2026-02-11
CPD-0000181,CUST-000181,1957-07-17,Jacksonville,1,1,1,1,False,4240,TIN-993144857,ITIN-376201305,False,No PEP match found.,25k-50k,50k-150k,Savings and investments,1,,False,Standard retail risk.,False,,2025-06-19,2025-08-14
CPD-0000182,CUST-000182,1975-05-20,Atlanta,1,2,1,1,False,0706,TIN-861207253,ITIN-131976925,False,No PEP match found.,25k-50k,150k-500k,Salary,1,,False,Standard retail risk.,False,,2026-04-04,2026-04-15
CPD-0000183,CUST-000183,1989-09-14,Raleigh,1,1,1,1,False,1445,TIN-695892688,ITIN-306758373,False,No PEP match found.,120k-200k,50k-150k,Salary,2,1.0,False,Standard retail risk.,False,,2024-06-04,2024-06-14
CPD-0000184,CUST-000184,1965-01-02,Charlotte,2,2,2,2,False,5324,TIN-340928103,ITIN-645754851,False,No PEP match found.,200k+,50k-150k,Business income,1,,False,Standard retail risk.,False,,2024-02-22,2024-05-18
CPD-0000185,CUST-000185,1983-03-22,Jacksonville,1,2,2,1,False,4790,TIN-608305395,ITIN-103145482,False,No PEP match found.,75k-120k,1m+,Salary,4,1.0,False,Standard retail risk.,False,,2025-09-19,2025-11-01
CPD-0000186,CUST-000186,1999-03-25,Jacksonville,2,3,1,2,False,0933,TIN-115682547,ITIN-861552662,False,No PEP match found.,50k-75k,150k-500k,Salary,1,,False,Standard retail risk.,False,,2024-08-04,2025-01-04
CPD-0000187,CUST-000187,1996-08-03,Raleigh,3,1,2,3,False,1818,TIN-986766329,ITIN-212846264,False,No PEP match found.,25k-50k,500k-1m,Business income,1,2.0,False,Standard retail risk.,False,,2025-10-07,2025-11-27
CPD-0000188,CUST-000188,1998-05-30,Miami,1,1,1,1,False,5830,TIN-438350396,ITIN-696365627,False,No PEP match found.,50k-75k,150k-500k,Savings and investments,1,2.0,False,Standard retail risk.,False,,2024-10-11,2024-11-15
CPD-0000189,CUST-000189,1984-11-01,Miami,4,2,1,4,False,7490,TIN-405128747,ITIN-762306588,False,No PEP match found.,120k-200k,50k-150k,Savings and investments,1,,False,Standard retail risk.,False,,2024-05-12,2024-05-25
CPD-0000190,CUST-000190,1961-06-14,Charlotte,2,2,2,2,False,7851,TIN-962912249,ITIN-587947623,False,No PEP match found.,120k-200k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2025-01-29,2025-02-18
CPD-0000191,CUST-000191,1989-05-04,Columbia,1,2,2,1,False,2451,TIN-559014563,ITIN-532807723,False,No PEP match found.,25k-50k,500k-1m,Business income,1,,False,Standard retail risk.,False,,2025-12-31,2026-03-19
CPD-0000192,CUST-000192,1964-03-25,Jacksonville,1,2,2,1,False,0270,TIN-947919045,ITIN-822690367,False,No PEP match found.,120k-200k,<50k,Inheritance,1,,False,Standard retail risk.,False,,2025-08-28,2025-12-29
CPD-0000193,CUST-000193,1980-10-26,Jacksonville,1,1,1,1,False,5721,TIN-601002870,ITIN-923125548,False,No PEP match found.,25k-50k,500k-1m,Salary,2,1.0,False,Standard retail risk.,False,,2026-08-12,2026-05-01
CPD-0000194,CUST-000194,1945-05-20,Charlotte,1,2,1,1,False,0796,TIN-667300047,ITIN-134540296,False,No PEP match found.,50k-75k,50k-150k,Savings and investments,1,,False,Standard retail risk.,False,,2025-11-12,2026-03-05
CPD-0000195,CUST-000195,1968-07-21,Columbia,4,1,1,4,True,2504,TIN-347617679,ITIN-229176850,False,No PEP match found.,75k-120k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2025-03-28,2025-08-26
CPD-0000196,CUST-000196,1977-12-01,Miami,3,1,2,3,False,1345,TIN-425910277,ITIN-374570289,False,No PEP match found.,120k-200k,150k-500k,Salary,1,,False,Standard retail risk.,False,,2026-09-22,2026-05-01
CPD-0000197,CUST-000197,1965-05-17,Charlotte,1,1,1,1,False,8426,TIN-173335581,ITIN-425501597,False,No PEP match found.,75k-120k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2025-10-27,2025-10-31
CPD-0000198,CUST-000198,2001-06-21,Atlanta,2,2,1,2,False,4860,TIN-341132834,ITIN-452718708,False,No PEP match found.,25k-50k,150k-500k,Salary,2,1.0,False,Standard retail risk.,False,,2025-01-03,2025-06-11
CPD-0000199,CUST-000199,1980-06-03,Charlotte,1,2,1,1,False,3841,TIN-154762185,ITIN-619579720,False,No PEP match found.,200k+,50k-150k,Savings and investments,1,,False,Standard retail risk.,False,,2025-07-19,2025-08-06
CPD-0000200,CUST-000200,1984-04-18,Raleigh,1,2,2,1,False,9765,TIN-271036799,ITIN-203238946,False,No PEP match found.,75k-120k,500k-1m,Savings and investments,1,,False,Standard retail risk.,False,,2026-06-29,2026-05-01
CPD-0000201,CUST-000201,1962-09-07,Miami,2,2,2,2,False,7603,TIN-251142615,ITIN-669558378,False,No PEP match found.,50k-75k,50k-150k,Business income,2,1.0,False,Standard retail risk.,False,,2024-12-13,2025-01-12
CPD-0000202,CUST-000202,1990-01-25,Miami,1,2,2,1,True,7682,TIN-616934052,ITIN-434307910,False,No PEP match found.,25k-50k,150k-500k,Savings and investments,1,2.0,False,Standard retail risk.,False,,2024-05-06,2024-07-07
CPD-0000203,CUST-000203,1990-01-09,Miami,2,3,1,2,False,3482,TIN-902399735,ITIN-753734272,False,No PEP match found.,75k-120k,50k-150k,Savings and investments,1,,False,Standard retail risk.,False,,2025-10-23,2025-10-28
CPD-0000204,CUST-000204,1950-10-12,Jacksonville,1,1,3,1,False,4646,TIN-396762815,ITIN-225558283,False,No PEP match found.,75k-120k,<50k,Salary,1,,False,Standard retail risk.,False,,2024-11-25,2025-05-22
CPD-0000205,CUST-000205,1957-01-05,Atlanta,1,1,1,1,True,5176,TIN-530841817,ITIN-683712669,False,No PEP match found.,25k-50k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2026-05-15,2026-05-01
CPD-0000206,CUST-000206,1986-12-25,Columbia,2,1,1,2,False,0628,TIN-533722756,ITIN-457997248,False,No PEP match found.,50k-75k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2024-05-11,2024-08-14
CPD-0000207,CUST-000207,2004-02-23,Atlanta,1,2,1,1,False,1544,TIN-849406780,ITIN-933654987,False,No PEP match found.,50k-75k,50k-150k,Savings and investments,1,,False,Standard retail risk.,False,,2024-10-15,2025-02-23
CPD-0000208,CUST-000208,1981-09-08,Raleigh,2,1,2,2,False,9873,TIN-492834369,ITIN-772382135,False,No PEP match found.,50k-75k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2024-07-22,2024-12-25
CPD-0000209,CUST-000209,1986-01-08,Miami,1,1,2,1,False,4201,TIN-595323929,ITIN-400464865,False,No PEP match found.,75k-120k,500k-1m,Salary,1,,False,Standard retail risk.,False,,2025-12-08,2026-03-22
CPD-0000210,CUST-000210,1958-10-31,Charlotte,1,2,2,1,False,9055,TIN-681457154,ITIN-161063904,False,No PEP match found.,50k-75k,1m+,Inheritance,1,,False,Standard retail risk.,False,,2024-09-13,2024-11-15
CPD-0000211,CUST-000211,1988-10-22,Columbia,1,2,2,1,False,5953,TIN-442215876,ITIN-207273415,False,No PEP match found.,75k-120k,150k-500k,Inheritance,1,,False,Standard retail risk.,False,,2026-09-08,2026-05-01
CPD-0000212,CUST-000212,1989-05-23,Raleigh,3,1,1,3,False,0958,TIN-304891371,ITIN-584061769,False,No PEP match found.,50k-75k,150k-500k,Inheritance,1,,False,Standard retail risk.,False,,2024-01-27,2024-04-14
CPD-0000213,CUST-000213,1981-05-27,Raleigh,2,2,1,2,False,7860,TIN-663600091,ITIN-971932350,False,No PEP match found.,75k-120k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2025-09-04,2025-12-08
CPD-0000214,CUST-000214,1959-10-05,Raleigh,1,1,1,1,False,9069,TIN-796384604,ITIN-817202563,False,No PEP match found.,50k-75k,150k-500k,Salary,1,2.0,False,Standard retail risk.,False,,2026-05-11,2026-05-01
CPD-0000215,CUST-000215,1990-08-06,Raleigh,3,2,2,3,False,4544,TIN-207169708,ITIN-148461724,False,No PEP match found.,120k-200k,150k-500k,Business income,2,1.0,False,Standard retail risk.,False,,2025-05-10,2025-10-13
CPD-0000216,CUST-000216,1976-10-04,Charlotte,1,2,1,1,False,5533,TIN-556907438,ITIN-981796180,False,No PEP match found.,200k+,<50k,Inheritance,1,,False,Standard retail risk.,False,,2024-09-02,2024-12-15
CPD-0000217,CUST-000217,1973-09-16,Jacksonville,2,2,1,2,False,1238,TIN-550410778,ITIN-261707458,False,No PEP match found.,75k-120k,150k-500k,Salary,1,,False,Standard retail risk.,False,,2026-04-27,2026-05-01
CPD-0000218,CUST-000218,1956-03-12,Columbia,1,2,4,1,False,4851,TIN-362519281,ITIN-981696205,False,No PEP match found.,75k-120k,50k-150k,Business income,1,,False,Standard retail risk.,False,,2026-02-10,2026-05-01
CPD-0000219,CUST-000219,1966-02-07,Columbia,1,1,2,1,False,0123,TIN-229229247,ITIN-155646064,False,No PEP match found.,25k-50k,50k-150k,Business income,2,1.0,False,Standard retail risk.,False,,2025-04-04,2025-07-10
CPD-0000220,CUST-000220,1995-08-21,Jacksonville,4,1,1,4,False,4618,TIN-507028396,ITIN-994119120,False,No PEP match found.,200k+,50k-150k,Business income,1,,False,Standard retail risk.,False,,2024-10-18,2024-11-12
CPD-0000221,CUST-000221,2005-05-23,Columbia,1,2,2,1,False,3281,TIN-741645225,ITIN-616402671,False,No PEP match found.,120k-200k,150k-500k,Savings and investments,1,,False,Standard retail risk.,False,,2025-02-15,2025-04-09
CPD-0000222,CUST-000222,1992-11-17,Columbia,1,1,1,1,False,0623,TIN-422959196,ITIN-140292540,False,No PEP match found.,50k-75k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2026-05-18,2026-05-01
CPD-0000223,CUST-000223,1979-06-07,Jacksonville,1,2,2,1,False,6900,TIN-686669541,ITIN-459240066,False,No PEP match found.,25k-50k,1m+,Savings and investments,1,,False,Standard retail risk.,False,,2024-12-06,2025-05-31
CPD-0000224,CUST-000224,2005-05-14,Columbia,1,2,1,1,False,1304,TIN-123035152,ITIN-378468943,False,No PEP match found.,50k-75k,1m+,Business income,1,,False,Standard retail risk.,False,,2024-05-18,2024-07-11
CPD-0000225,CUST-000225,1950-06-29,Charlotte,1,2,1,1,False,3392,TIN-640802103,ITIN-288825961,False,No PEP match found.,75k-120k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2025-01-29,2025-05-12
CPD-0000226,CUST-000226,1997-07-24,Miami,2,2,1,2,False,1728,TIN-483103666,ITIN-119042318,False,No PEP match found.,120k-200k,150k-500k,Inheritance,2,1.0,False,Standard retail risk.,False,,2024-06-03,2024-10-14
CPD-0000227,CUST-000227,1985-06-17,Atlanta,1,2,2,1,False,8818,TIN-982566491,ITIN-930099841,False,No PEP match found.,75k-120k,<50k,Savings and investments,1,,True,PEP-related monitoring,False,,2026-07-25,2026-05-01
CPD-0000228,CUST-000228,1967-03-05,Raleigh,1,1,1,1,False,6917,TIN-598476232,ITIN-159268585,False,No PEP match found.,50k-75k,<50k,Business income,1,,False,Standard retail risk.,False,,2024-05-20,2024-07-07
CPD-0000229,CUST-000229,1982-07-26,Charlotte,1,1,1,1,False,6113,TIN-136474330,ITIN-907188648,False,No PEP match found.,120k-200k,150k-500k,Salary,1,,False,Standard retail risk.,False,,2026-06-08,2026-05-01
CPD-0000230,CUST-000230,2006-12-13,Raleigh,2,1,2,2,False,2521,TIN-292467227,ITIN-497456007,False,No PEP match found.,75k-120k,150k-500k,Salary,2,1.0,False,Standard retail risk.,False,,2026-04-16,2026-05-01
CPD-0000231,CUST-000231,1975-08-16,Miami,1,3,1,1,False,7668,TIN-626957180,ITIN-803750746,False,No PEP match found.,25k-50k,<50k,Inheritance,1,,False,Standard retail risk.,False,,2025-07-08,2025-10-11
CPD-0000232,CUST-000232,1983-04-20,Charlotte,1,2,2,1,False,1969,TIN-975475397,ITIN-654369760,False,No PEP match found.,120k-200k,150k-500k,Savings and investments,1,,False,Standard retail risk.,False,,2025-11-20,2026-02-24
CPD-0000233,CUST-000233,1965-04-07,Miami,1,2,1,1,False,2095,TIN-120164918,ITIN-781251338,False,No PEP match found.,75k-120k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2026-10-02,2026-05-01
CPD-0000234,CUST-000234,1963-04-16,Miami,4,2,1,4,False,0815,TIN-453175164,ITIN-420900691,False,No PEP match found.,120k-200k,50k-150k,Savings and investments,2,1.0,False,Standard retail risk.,False,,2024-04-05,2024-04-17
CPD-0000235,CUST-000235,1952-02-08,Raleigh,3,2,2,3,False,1867,TIN-431545543,ITIN-284119829,False,No PEP match found.,25k-50k,<50k,Business income,1,,False,Standard retail risk.,False,,2024-11-17,2025-03-08
